Edad,Género,Obesidad,Ingresos familiares promedio,Tamaño de la familia,Título educativo del padre,Título educativo de la madre,Estado civil de los padres,Horas de estudio,Estado residencial,Tipo de familia,Número de niños que viven juntos en casa,Educación de género,Categoría de escuelas,Número promedio de días de ausencia,Distancia entre el hogar y la escuela,Número promedio de días de retraso,Modo de desplazamiento a la escuela,Rendimiento académico previo,Estrés,Actividad física,Ingesta de alimentos,Consumo de tabaco,Consumo de alcohol por semana,Tipo de comportamiento,Pensamiento positivo u optimista,Sentirse tenso o incómodo,Sentirse triste o deprimido,Rendimiento académico
adolescencia tardía,femenino,no,clase media-baja,pequeño,preparatoria,secundaria,casado,1.4,albergue,conjunto,3,mixto,público,1,1–3 km,una vez a la semana,transporte público,alto,muy poco estrés,ocasional,ocasional,ocasional,ocasional,algunas veces,rara vez,rara vez,casi siempre,bajo
otros,masculino,sí,clase media-alta,pequeño,posgrado,sin educación,soltero,2.1,albergue,conjunto,6,unisexo,privado,2,más de 5 km,casi todos los días,transporte privado,alto,grave,nunca,ocasional,ocasional,regular,casi nunca,a veces,casi nunca,casi nunca,bajo
adolescencia tardía,femenino,sí,clase media-baja,mediano,primaria,preparatoria,casado,2.6,con familiares,conjunto,5,unisexo,privado,2,1–3 km,dos veces a la semana,transporte privado,alto,grave,ocasional,regular,ocasional,ocasional,algunas veces,rara vez,casi nunca,casi nunca,moderado
adolescencia media,masculino,sí,clase media-baja,grande,preparatoria,sin educación,casado,1.9,con padres,nuclear,1,mixto,público,4,menos de 1 km,una vez a la semana,transporte privado,moderado,mayor,regular,ocasional,nunca,regular,rara vez,casi siempre,casi siempre,casi nunca,bajo
otros,femenino,sí,clase media-alta,mediano,secundaria,licenciatura,casado,2.7,albergue,conjunto,2,mixto,privado,5,1–3 km,dos veces a la semana,transporte público,moderado,mayor,regular,ocasional,ocasional,nunca,bastante a menudo,casi nunca,rara vez,rara vez,moderado
adolescencia temprana,femenino,no,clase media-baja,grande,preparatoria,posgrado,divorciado,0.8,con padres,nuclear,2,unisexo,público,4,menos de 1 km,casi todos los días,transporte público,moderado,mayor,regular,nunca,ocasional,regular,casi siempre,casi siempre,rara vez,bastante a menudo,bajo
adolescencia media,femenino,sí,clase media-alta,grande,sin educación,primaria,viudo,4.3,albergue,conjunto,5,mixto,privado,7,más de 5 km,nunca,a pie,alto,muy poco estrés,ocasional,regular,nunca,regular,casi nunca,casi nunca,algunas veces,casi siempre,moderado
adolescencia media,masculino,sí,clase media-alta,mediano,preparatoria,primaria,casado,3.0,con familiares,nuclear,3,unisexo,público,3,3–5 km,nunca,a pie,alto,grave,nunca,ocasional,nunca,nunca,casi siempre,casi siempre,casi siempre,casi siempre,moderado
adolescencia temprana,masculino,no,alta,grande,licenciatura,licenciatura,viudo,2.6,con familiares,conjunto,3,unisexo,privado,4,3–5 km,una vez a la semana,transporte privado,alto,mayor,regular,nunca,regular,nunca,casi siempre,a veces,rara vez,casi siempre,moderado
adolescencia tardía,femenino,no,alta,mediano,primaria,primaria,casado,0.0,con familiares,nuclear,1,unisexo,privado,1,menos de 1 km,casi todos los días,transporte privado,moderado,mayor,regular,ocasional,nunca,nunca,algunas veces,casi siempre,rara vez,rara vez,bajo
adolescencia temprana,masculino,sí,clase media-baja,pequeño,preparatoria,sin educación,separado,1.6,con familiares,nuclear,6,mixto,privado,3,3–5 km,dos veces a la semana,transporte privado,moderado,grave,nunca,ocasional,regular,nunca,algunas veces,a veces,rara vez,algunas veces,bajo
adolescencia temprana,masculino,sí,clase media-baja,mediano,sin educación,posgrado,separado,1.9,albergue,conjunto,3,unisexo,privado,4,3–5 km,casi todos los días,transporte público,bajo,moderado,ocasional,ocasional,regular,regular,rara vez,casi nunca,casi nunca,algunas veces,bajo
adolescencia tardía,femenino,no,clase media-baja,pequeño,primaria,preparatoria,casado,3.8,con familiares,conjunto,2,unisexo,privado,3,menos de 1 km,una vez a la semana,a pie,moderado,mayor,nunca,nunca,nunca,ocasional,casi siempre,casi nunca,casi nunca,algunas veces,moderado
adolescencia temprana,masculino,no,clase media-baja,grande,secundaria,licenciatura,separado,1.9,con familiares,conjunto,2,mixto,privado,8,menos de 1 km,casi todos los días,transporte público,moderado,muy poco estrés,regular,nunca,nunca,ocasional,casi nunca,casi siempre,algunas veces,casi siempre,bajo
otros,masculino,sí,alta,pequeño,posgrado,posgrado,divorciado,6.4,con padres,conjunto,4,mixto,privado,5,menos de 1 km,una vez a la semana,transporte público,bajo,muy poco estrés,regular,ocasional,regular,regular,algunas veces,casi siempre,rara vez,casi nunca,bajo
adolescencia tardía,femenino,sí,alta,pequeño,sin educación,preparatoria,divorciado,1.5,con padres,nuclear,3,mixto,privado,5,3–5 km,una vez a la semana,transporte público,alto,moderado,ocasional,nunca,nunca,regular,bastante a menudo,casi nunca,bastante a menudo,algunas veces,bajo
adolescencia tardía,femenino,no,clase media-alta,grande,posgrado,secundaria,soltero,2.6,con familiares,nuclear,3,unisexo,privado,3,1–3 km,una vez a la semana,a pie,bajo,moderado,regular,ocasional,nunca,nunca,algunas veces,casi nunca,algunas veces,casi nunca,bajo
adolescencia media,masculino,sí,alta,pequeño,secundaria,secundaria,divorciado,2.1,con familiares,conjunto,2,unisexo,público,2,3–5 km,dos veces a la semana,a pie,alto,muy poco estrés,nunca,nunca,ocasional,regular,rara vez,casi nunca,rara vez,algunas veces,bajo
adolescencia tardía,masculino,no,clase media-baja,pequeño,primaria,preparatoria,viudo,2.1,albergue,conjunto,1,unisexo,público,3,3–5 km,una vez a la semana,transporte público,alto,muy poco estrés,regular,regular,regular,regular,bastante a menudo,casi nunca,rara vez,casi nunca,bajo
otros,masculino,no,clase media-baja,grande,preparatoria,posgrado,separado,3.7,albergue,nuclear,4,unisexo,privado,4,más de 5 km,casi todos los días,a pie,bajo,grave,regular,nunca,nunca,ocasional,casi siempre,casi siempre,rara vez,casi nunca,bajo
adolescencia tardía,masculino,sí,clase baja,grande,posgrado,preparatoria,viudo,2.0,albergue,conjunto,3,unisexo,público,4,menos de 1 km,nunca,transporte público,alto,moderado,regular,ocasional,regular,nunca,rara vez,a veces,rara vez,casi siempre,bajo
adolescencia temprana,masculino,sí,alta,pequeño,posgrado,sin educación,divorciado,4.7,con padres,conjunto,5,mixto,privado,6,3–5 km,una vez a la semana,a pie,moderado,grave,ocasional,ocasional,regular,nunca,casi siempre,bastante a menudo,casi siempre,bastante a menudo,moderado
adolescencia temprana,masculino,no,clase baja,grande,licenciatura,preparatoria,soltero,3.5,con padres,nuclear,6,mixto,público,3,1–3 km,nunca,transporte público,alto,grave,nunca,regular,nunca,ocasional,casi siempre,casi nunca,algunas veces,casi nunca,moderado
adolescencia temprana,masculino,sí,clase baja,grande,posgrado,licenciatura,casado,0.6,albergue,nuclear,5,unisexo,privado,4,1–3 km,nunca,a pie,moderado,muy poco estrés,nunca,ocasional,ocasional,nunca,bastante a menudo,casi siempre,casi siempre,bastante a menudo,bajo
adolescencia temprana,masculino,no,clase media-baja,mediano,sin educación,sin educación,casado,3.6,albergue,conjunto,6,unisexo,privado,4,menos de 1 km,casi todos los días,transporte privado,moderado,muy poco estrés,ocasional,ocasional,ocasional,ocasional,casi siempre,bastante a menudo,algunas veces,casi siempre,moderado
otros,femenino,no,clase baja,grande,licenciatura,posgrado,soltero,2.4,con padres,conjunto,1,mixto,público,2,1–3 km,casi todos los días,a pie,alto,moderado,nunca,nunca,ocasional,nunca,casi siempre,a veces,algunas veces,rara vez,bajo
adolescencia media,masculino,sí,clase media-baja,grande,posgrado,licenciatura,separado,1.5,albergue,nuclear,5,unisexo,público,2,1–3 km,casi todos los días,a pie,alto,moderado,ocasional,nunca,regular,regular,algunas veces,bastante a menudo,casi nunca,algunas veces,bajo
adolescencia tardía,femenino,sí,alta,mediano,secundaria,posgrado,casado,2.2,con padres,nuclear,6,mixto,privado,6,3–5 km,nunca,transporte público,bajo,moderado,ocasional,regular,nunca,regular,bastante a menudo,bastante a menudo,bastante a menudo,algunas veces,bajo
adolescencia media,masculino,sí,clase media-baja,pequeño,preparatoria,licenciatura,soltero,3.1,albergue,nuclear,6,unisexo,público,6,menos de 1 km,nunca,transporte privado,bajo,moderado,nunca,regular,ocasional,nunca,bastante a menudo,a veces,rara vez,casi nunca,bajo
otros,masculino,no,clase media-baja,grande,primaria,licenciatura,divorciado,0.8,con padres,nuclear,4,unisexo,público,6,3–5 km,una vez a la semana,a pie,moderado,mayor,ocasional,regular,nunca,regular,bastante a menudo,rara vez,casi siempre,casi nunca,bajo
otros,femenino,no,clase media-baja,pequeño,primaria,posgrado,separado,2.9,albergue,conjunto,1,unisexo,público,5,menos de 1 km,dos veces a la semana,a pie,alto,muy poco estrés,ocasional,nunca,nunca,regular,casi nunca,a veces,bastante a menudo,bastante a menudo,moderado
adolescencia tardía,masculino,no,clase media-alta,mediano,preparatoria,posgrado,divorciado,0.9,con familiares,nuclear,5,mixto,público,1,más de 5 km,nunca,transporte privado,moderado,mayor,ocasional,ocasional,ocasional,ocasional,bastante a menudo,bastante a menudo,casi nunca,bastante a menudo,bajo
adolescencia tardía,femenino,no,clase baja,pequeño,licenciatura,preparatoria,casado,1.8,con familiares,conjunto,2,mixto,privado,3,1–3 km,una vez a la semana,transporte privado,alto,mayor,nunca,ocasional,regular,ocasional,rara vez,casi siempre,rara vez,bastante a menudo,bajo
adolescencia tardía,masculino,sí,alta,grande,primaria,sin educación,soltero,1.8,albergue,nuclear,3,unisexo,público,3,menos de 1 km,dos veces a la semana,transporte privado,bajo,grave,nunca,regular,regular,ocasional,bastante a menudo,casi nunca,casi nunca,algunas veces,bajo
otros,femenino,sí,clase media-baja,grande,sin educación,sin educación,casado,5.0,albergue,conjunto,3,unisexo,privado,3,menos de 1 km,casi todos los días,transporte privado,moderado,leve,regular,nunca,ocasional,nunca,casi nunca,a veces,casi nunca,casi nunca,moderado
adolescencia tardía,masculino,no,alta,mediano,preparatoria,licenciatura,soltero,2.7,con padres,conjunto,6,unisexo,privado,3,menos de 1 km,nunca,a pie,moderado,muy poco estrés,nunca,ocasional,regular,regular,bastante a menudo,a veces,algunas veces,bastante a menudo,moderado
otros,femenino,sí,clase media-alta,pequeño,licenciatura,primaria,casado,2.3,albergue,nuclear,2,unisexo,público,4,1–3 km,una vez a la semana,a pie,moderado,leve,ocasional,regular,ocasional,regular,casi nunca,bastante a menudo,algunas veces,casi nunca,bajo
adolescencia temprana,femenino,sí,alta,grande,secundaria,sin educación,soltero,1.3,con familiares,conjunto,1,mixto,público,1,1–3 km,nunca,transporte público,bajo,moderado,regular,nunca,ocasional,regular,rara vez,casi nunca,casi siempre,casi nunca,bajo
adolescencia temprana,masculino,sí,clase baja,pequeño,secundaria,posgrado,separado,0.5,con familiares,nuclear,3,unisexo,privado,3,menos de 1 km,casi todos los días,a pie,alto,grave,ocasional,regular,ocasional,nunca,casi nunca,rara vez,algunas veces,casi siempre,bajo
adolescencia temprana,masculino,no,clase baja,mediano,preparatoria,primaria,soltero,3.8,albergue,conjunto,5,unisexo,privado,3,1–3 km,una vez a la semana,a pie,alto,leve,regular,regular,regular,ocasional,casi nunca,bastante a menudo,casi nunca,casi nunca,moderado
otros,femenino,no,clase baja,grande,sin educación,preparatoria,soltero,1.8,albergue,conjunto,3,mixto,público,4,menos de 1 km,una vez a la semana,transporte privado,bajo,leve,ocasional,ocasional,nunca,ocasional,casi nunca,a veces,algunas veces,algunas veces,bajo
adolescencia media,masculino,no,clase media-baja,pequeño,posgrado,posgrado,casado,1.3,con familiares,nuclear,5,mixto,público,4,1–3 km,dos veces a la semana,a pie,moderado,mayor,nunca,nunca,nunca,regular,casi siempre,bastante a menudo,bastante a menudo,rara vez,bajo
adolescencia tardía,femenino,sí,clase media-baja,pequeño,licenciatura,licenciatura,divorciado,5.3,con familiares,nuclear,5,unisexo,público,1,1–3 km,dos veces a la semana,transporte público,bajo,grave,ocasional,regular,regular,ocasional,casi siempre,casi siempre,bastante a menudo,casi siempre,bajo
adolescencia tardía,masculino,no,clase baja,grande,posgrado,secundaria,soltero,1.9,con familiares,nuclear,6,mixto,público,2,más de 5 km,nunca,transporte público,alto,moderado,regular,ocasional,regular,ocasional,casi nunca,a veces,casi nunca,rara vez,bajo
adolescencia tardía,femenino,sí,clase media-baja,mediano,preparatoria,secundaria,divorciado,1.2,con padres,conjunto,2,unisexo,privado,2,menos de 1 km,una vez a la semana,a pie,moderado,leve,regular,regular,regular,regular,algunas veces,casi siempre,algunas veces,casi nunca,bajo
adolescencia temprana,femenino,sí,clase media-alta,grande,preparatoria,primaria,separado,1.3,con familiares,nuclear,6,unisexo,privado,4,3–5 km,una vez a la semana,transporte público,moderado,leve,regular,regular,nunca,regular,algunas veces,bastante a menudo,casi siempre,algunas veces,bajo
adolescencia media,femenino,no,clase baja,mediano,sin educación,sin educación,separado,4.6,con familiares,conjunto,4,unisexo,privado,3,menos de 1 km,una vez a la semana,transporte privado,moderado,moderado,regular,nunca,nunca,regular,rara vez,bastante a menudo,algunas veces,algunas veces,moderado
adolescencia tardía,femenino,no,clase media-baja,pequeño,posgrado,licenciatura,viudo,1.3,albergue,conjunto,2,unisexo,público,3,3–5 km,nunca,a pie,alto,muy poco estrés,regular,regular,regular,nunca,algunas veces,a veces,casi siempre,casi nunca,bajo
adolescencia tardía,masculino,no,clase media-alta,mediano,licenciatura,preparatoria,divorciado,1.6,con padres,nuclear,6,unisexo,privado,5,más de 5 km,dos veces a la semana,transporte público,moderado,grave,regular,regular,regular,regular,algunas veces,a veces,casi siempre,algunas veces,bajo
adolescencia media,masculino,no,clase media-alta,mediano,posgrado,primaria,divorciado,2.5,albergue,nuclear,6,unisexo,privado,2,3–5 km,casi todos los días,transporte privado,alto,muy poco estrés,nunca,regular,nunca,ocasional,casi siempre,bastante a menudo,casi nunca,algunas veces,moderado
otros,femenino,sí,clase media-baja,pequeño,preparatoria,sin educación,viudo,3.9,con familiares,conjunto,3,unisexo,privado,5,1–3 km,dos veces a la semana,transporte público,alto,leve,nunca,ocasional,ocasional,nunca,algunas veces,bastante a menudo,algunas veces,casi siempre,moderado
adolescencia tardía,femenino,sí,clase media-alta,mediano,posgrado,posgrado,separado,3.9,con padres,nuclear,5,mixto,público,4,1–3 km,nunca,transporte público,bajo,moderado,ocasional,regular,nunca,nunca,rara vez,casi siempre,rara vez,casi siempre,bajo
adolescencia tardía,femenino,sí,clase media-baja,pequeño,licenciatura,primaria,separado,1.4,con padres,conjunto,6,unisexo,público,4,menos de 1 km,una vez a la semana,transporte público,alto,grave,ocasional,ocasional,ocasional,ocasional,casi nunca,casi siempre,rara vez,algunas veces,bajo
adolescencia media,femenino,no,clase media-baja,pequeño,licenciatura,secundaria,soltero,1.9,con padres,conjunto,3,mixto,público,6,más de 5 km,una vez a la semana,a pie,alto,moderado,regular,ocasional,regular,regular,casi siempre,a veces,algunas veces,rara vez,bajo
otros,femenino,no,clase baja,pequeño,secundaria,preparatoria,casado,4.9,albergue,conjunto,6,mixto,público,4,menos de 1 km,una vez a la semana,a pie,moderado,moderado,nunca,ocasional,ocasional,nunca,bastante a menudo,casi nunca,casi siempre,algunas veces,moderado
adolescencia tardía,femenino,sí,clase baja,grande,secundaria,licenciatura,viudo,1.7,con familiares,nuclear,3,unisexo,público,5,3–5 km,nunca,a pie,alto,muy poco estrés,ocasional,regular,ocasional,nunca,bastante a menudo,rara vez,bastante a menudo,casi nunca,bajo
otros,femenino,no,clase media-baja,pequeño,preparatoria,licenciatura,separado,1.1,con padres,nuclear,4,mixto,público,3,3–5 km,casi todos los días,transporte público,bajo,mayor,regular,ocasional,ocasional,ocasional,casi nunca,rara vez,casi siempre,algunas veces,bajo
adolescencia tardía,femenino,sí,alta,mediano,licenciatura,primaria,divorciado,3.5,albergue,conjunto,6,unisexo,público,0,1–3 km,nunca,transporte privado,moderado,mayor,regular,ocasional,ocasional,regular,bastante a menudo,bastante a menudo,casi siempre,casi siempre,moderado
adolescencia media,masculino,no,clase baja,mediano,primaria,sin educación,soltero,3.4,con familiares,nuclear,6,mixto,público,0,3–5 km,nunca,transporte privado,bajo,mayor,regular,ocasional,nunca,ocasional,rara vez,bastante a menudo,algunas veces,casi nunca,bajo
otros,masculino,no,clase media-baja,pequeño,licenciatura,preparatoria,divorciado,3.0,con padres,conjunto,5,mixto,privado,2,1–3 km,dos veces a la semana,transporte público,alto,mayor,ocasional,nunca,ocasional,regular,bastante a menudo,casi siempre,algunas veces,bastante a menudo,moderado
adolescencia media,masculino,no,alta,mediano,posgrado,preparatoria,soltero,2.9,con padres,nuclear,3,mixto,privado,3,1–3 km,casi todos los días,transporte privado,moderado,leve,ocasional,nunca,regular,nunca,bastante a menudo,a veces,casi nunca,algunas veces,moderado
adolescencia tardía,femenino,no,clase baja,grande,primaria,licenciatura,separado,2.5,con familiares,conjunto,1,mixto,privado,1,menos de 1 km,dos veces a la semana,a pie,alto,moderado,nunca,regular,ocasional,nunca,casi nunca,casi nunca,casi nunca,casi nunca,moderado
adolescencia temprana,femenino,sí,clase media-baja,grande,posgrado,secundaria,casado,0.0,con padres,conjunto,3,mixto,público,4,más de 5 km,casi todos los días,transporte público,moderado,leve,regular,ocasional,ocasional,regular,rara vez,casi siempre,casi nunca,bastante a menudo,bajo
adolescencia tardía,masculino,no,clase media-baja,mediano,preparatoria,sin educación,casado,3.3,albergue,nuclear,4,unisexo,público,2,menos de 1 km,dos veces a la semana,transporte público,bajo,mayor,ocasional,nunca,nunca,nunca,casi siempre,casi siempre,casi siempre,casi siempre,bajo
adolescencia media,femenino,sí,alta,grande,primaria,primaria,divorciado,1.9,albergue,nuclear,5,unisexo,privado,1,3–5 km,nunca,transporte público,moderado,grave,regular,ocasional,nunca,ocasional,bastante a menudo,casi nunca,casi nunca,casi siempre,bajo
adolescencia media,femenino,sí,alta,mediano,primaria,sin educación,separado,0.8,albergue,nuclear,1,unisexo,público,2,más de 5 km,una vez a la semana,transporte público,moderado,muy poco estrés,ocasional,ocasional,regular,ocasional,bastante a menudo,a veces,bastante a menudo,algunas veces,bajo
adolescencia tardía,masculino,no,clase baja,pequeño,posgrado,licenciatura,casado,2.0,con padres,nuclear,5,mixto,público,3,3–5 km,nunca,transporte privado,alto,leve,regular,ocasional,regular,regular,casi nunca,rara vez,bastante a menudo,bastante a menudo,bajo
otros,masculino,sí,clase media-alta,mediano,primaria,primaria,separado,1.8,con familiares,nuclear,2,unisexo,público,1,menos de 1 km,casi todos los días,transporte público,bajo,moderado,nunca,ocasional,nunca,nunca,bastante a menudo,bastante a menudo,bastante a menudo,casi nunca,bajo
adolescencia temprana,masculino,sí,alta,grande,primaria,primaria,divorciado,0.0,con padres,nuclear,5,mixto,privado,3,menos de 1 km,una vez a la semana,transporte público,bajo,leve,ocasional,ocasional,ocasional,nunca,rara vez,a veces,algunas veces,casi nunca,bajo
adolescencia media,femenino,no,clase media-baja,grande,posgrado,sin educación,viudo,5.3,con padres,nuclear,1,unisexo,público,4,menos de 1 km,una vez a la semana,transporte privado,bajo,muy poco estrés,regular,regular,nunca,nunca,rara vez,rara vez,bastante a menudo,bastante a menudo,bajo
adolescencia tardía,masculino,sí,clase media-baja,mediano,primaria,preparatoria,divorciado,3.2,albergue,nuclear,1,unisexo,privado,4,3–5 km,una vez a la semana,transporte público,alto,grave,ocasional,regular,nunca,nunca,rara vez,bastante a menudo,algunas veces,algunas veces,moderado
otros,masculino,no,alta,mediano,licenciatura,primaria,divorciado,1.7,albergue,nuclear,5,unisexo,público,1,más de 5 km,dos veces a la semana,transporte privado,alto,leve,nunca,ocasional,nunca,regular,casi nunca,casi nunca,bastante a menudo,casi nunca,bajo
adolescencia temprana,masculino,no,clase baja,grande,preparatoria,secundaria,viudo,2.0,con padres,nuclear,5,mixto,público,1,más de 5 km,una vez a la semana,a pie,bajo,grave,nunca,nunca,regular,regular,casi siempre,rara vez,casi nunca,casi siempre,bajo
otros,femenino,no,alta,grande,sin educación,primaria,casado,3.4,albergue,conjunto,5,mixto,público,1,menos de 1 km,nunca,transporte público,alto,moderado,regular,regular,ocasional,regular,rara vez,bastante a menudo,bastante a menudo,bastante a menudo,moderado
adolescencia media,femenino,no,clase media-baja,grande,preparatoria,secundaria,viudo,1.6,con padres,conjunto,1,mixto,privado,3,menos de 1 km,una vez a la semana,a pie,bajo,moderado,ocasional,nunca,regular,ocasional,bastante a menudo,rara vez,bastante a menudo,algunas veces,bajo
adolescencia tardía,masculino,no,alta,pequeño,posgrado,sin educación,soltero,1.6,con familiares,conjunto,5,unisexo,privado,0,menos de 1 km,una vez a la semana,transporte público,alto,leve,nunca,ocasional,regular,nunca,algunas veces,casi nunca,casi nunca,algunas veces,bajo
adolescencia tardía,masculino,no,alta,mediano,preparatoria,preparatoria,casado,3.8,con familiares,nuclear,6,mixto,privado,1,más de 5 km,casi todos los días,transporte público,bajo,muy poco estrés,nunca,regular,nunca,regular,algunas veces,rara vez,rara vez,casi nunca,bajo
otros,masculino,no,clase media-baja,mediano,primaria,posgrado,divorciado,1.0,con familiares,nuclear,4,mixto,privado,3,3–5 km,nunca,transporte público,moderado,moderado,regular,nunca,regular,nunca,algunas veces,casi siempre,casi siempre,rara vez,bajo
adolescencia temprana,masculino,sí,clase media-baja,grande,sin educación,primaria,soltero,1.8,albergue,conjunto,1,unisexo,privado,0,3–5 km,dos veces a la semana,transporte público,bajo,grave,regular,regular,ocasional,ocasional,rara vez,casi nunca,bastante a menudo,bastante a menudo,bajo
otros,femenino,no,clase media-alta,mediano,sin educación,preparatoria,viudo,3.2,con padres,conjunto,6,unisexo,privado,4,3–5 km,una vez a la semana,transporte público,bajo,leve,nunca,nunca,nunca,ocasional,rara vez,casi nunca,rara vez,bastante a menudo,bajo
adolescencia temprana,masculino,no,alta,pequeño,sin educación,primaria,soltero,4.8,albergue,conjunto,5,mixto,público,7,3–5 km,una vez a la semana,transporte público,bajo,grave,regular,regular,ocasional,nunca,casi nunca,a veces,casi siempre,rara vez,bajo
adolescencia tardía,femenino,no,clase baja,grande,sin educación,licenciatura,divorciado,1.9,con padres,nuclear,1,unisexo,público,2,1–3 km,dos veces a la semana,transporte público,moderado,mayor,ocasional,nunca,regular,ocasional,algunas veces,casi siempre,casi siempre,casi siempre,bajo
adolescencia tardía,femenino,no,clase media-alta,grande,sin educación,preparatoria,casado,2.0,con padres,conjunto,1,mixto,privado,1,3–5 km,nunca,a pie,moderado,muy poco estrés,regular,regular,regular,ocasional,rara vez,a veces,casi siempre,algunas veces,bajo
adolescencia media,masculino,no,clase media-baja,mediano,posgrado,secundaria,divorciado,2.6,con familiares,conjunto,2,mixto,público,4,1–3 km,casi todos los días,a pie,alto,leve,nunca,regular,regular,regular,algunas veces,rara vez,rara vez,casi nunca,moderado
adolescencia tardía,femenino,sí,clase media-alta,pequeño,sin educación,sin educación,soltero,3.3,con padres,conjunto,6,mixto,privado,4,más de 5 km,casi todos los días,transporte público,moderado,leve,nunca,ocasional,nunca,regular,casi siempre,rara vez,rara vez,casi siempre,moderado
adolescencia tardía,femenino,no,clase media-baja,mediano,primaria,licenciatura,soltero,2.0,con familiares,conjunto,4,unisexo,público,3,1–3 km,una vez a la semana,a pie,moderado,mayor,regular,ocasional,regular,ocasional,casi siempre,casi nunca,algunas veces,casi nunca,bajo
adolescencia media,masculino,no,clase media-alta,pequeño,licenciatura,preparatoria,soltero,4.7,albergue,conjunto,2,mixto,privado,3,3–5 km,nunca,transporte privado,alto,muy poco estrés,regular,regular,nunca,nunca,casi nunca,casi nunca,casi nunca,rara vez,alto
otros,femenino,no,clase media-baja,mediano,secundaria,sin educación,soltero,4.3,albergue,nuclear,2,mixto,privado,3,3–5 km,nunca,transporte público,moderado,leve,regular,ocasional,regular,regular,casi nunca,a veces,rara vez,algunas veces,moderado
adolescencia temprana,masculino,no,alta,mediano,sin educación,sin educación,viudo,1.5,con familiares,conjunto,4,unisexo,público,1,menos de 1 km,una vez a la semana,a pie,alto,leve,ocasional,nunca,regular,ocasional,casi nunca,a veces,algunas veces,bastante a menudo,bajo
adolescencia temprana,masculino,no,clase media-baja,grande,primaria,primaria,viudo,1.7,albergue,conjunto,5,unisexo,público,4,3–5 km,una vez a la semana,a pie,alto,moderado,regular,ocasional,regular,ocasional,rara vez,casi siempre,rara vez,casi siempre,bajo
adolescencia temprana,masculino,sí,clase baja,mediano,primaria,primaria,viudo,2.3,con familiares,conjunto,4,mixto,privado,5,1–3 km,una vez a la semana,transporte privado,alto,mayor,nunca,regular,ocasional,nunca,casi siempre,casi siempre,casi nunca,bastante a menudo,bajo
adolescencia temprana,femenino,no,clase media-alta,pequeño,primaria,preparatoria,casado,1.9,con padres,nuclear,4,mixto,privado,5,3–5 km,nunca,transporte privado,alto,mayor,regular,regular,regular,ocasional,rara vez,rara vez,casi nunca,algunas veces,bajo
adolescencia temprana,masculino,sí,clase baja,mediano,licenciatura,preparatoria,soltero,3.5,con familiares,nuclear,5,mixto,público,3,1–3 km,una vez a la semana,a pie,bajo,mayor,regular,ocasional,nunca,nunca,rara vez,casi siempre,rara vez,casi siempre,bajo
adolescencia tardía,femenino,no,alta,pequeño,posgrado,primaria,soltero,2.5,con padres,conjunto,5,unisexo,público,3,menos de 1 km,nunca,a pie,moderado,moderado,regular,ocasional,ocasional,ocasional,casi nunca,casi nunca,bastante a menudo,bastante a menudo,moderado
adolescencia media,femenino,no,clase media-alta,mediano,preparatoria,secundaria,casado,5.8,albergue,conjunto,3,unisexo,público,2,3–5 km,casi todos los días,a pie,moderado,grave,nunca,regular,nunca,regular,casi siempre,rara vez,casi siempre,casi nunca,moderado
otros,femenino,no,clase media-baja,grande,posgrado,licenciatura,divorciado,3.5,con padres,conjunto,5,unisexo,privado,3,1–3 km,dos veces a la semana,transporte privado,bajo,muy poco estrés,ocasional,regular,regular,regular,casi siempre,casi nunca,bastante a menudo,algunas veces,bajo
adolescencia media,femenino,sí,alta,mediano,primaria,primaria,separado,4.1,con familiares,nuclear,3,unisexo,público,3,3–5 km,casi todos los días,transporte privado,bajo,grave,nunca,regular,nunca,ocasional,rara vez,a veces,casi nunca,rara vez,bajo
adolescencia tardía,masculino,sí,alta,mediano,secundaria,secundaria,casado,2.4,con padres,conjunto,6,unisexo,privado,1,menos de 1 km,nunca,a pie,moderado,muy poco estrés,ocasional,nunca,regular,regular,bastante a menudo,casi siempre,casi siempre,rara vez,bajo
adolescencia tardía,femenino,sí,clase media-alta,grande,posgrado,primaria,soltero,2.1,albergue,conjunto,6,mixto,público,1,menos de 1 km,una vez a la semana,transporte privado,alto,muy poco estrés,ocasional,ocasional,regular,nunca,casi nunca,rara vez,casi nunca,rara vez,bajo
otros,masculino,no,clase media-baja,mediano,primaria,sin educación,casado,2.7,albergue,conjunto,5,mixto,público,5,más de 5 km,nunca,a pie,bajo,mayor,nunca,ocasional,nunca,nunca,algunas veces,a veces,bastante a menudo,bastante a menudo,bajo
otros,femenino,no,alta,mediano,secundaria,preparatoria,soltero,3.5,albergue,nuclear,3,mixto,público,2,más de 5 km,casi todos los días,a pie,moderado,muy poco estrés,ocasional,nunca,regular,nunca,bastante a menudo,casi siempre,casi siempre,casi siempre,moderado
adolescencia media,masculino,no,clase media-alta,pequeño,secundaria,secundaria,soltero,1.5,albergue,conjunto,3,mixto,público,1,1–3 km,dos veces a la semana,transporte privado,alto,muy poco estrés,nunca,ocasional,regular,ocasional,casi siempre,casi siempre,algunas veces,casi nunca,bajo
adolescencia temprana,masculino,sí,clase media-baja,mediano,secundaria,secundaria,divorciado,2.6,con padres,nuclear,4,unisexo,privado,5,más de 5 km,nunca,transporte privado,moderado,leve,ocasional,regular,regular,ocasional,rara vez,bastante a menudo,bastante a menudo,casi nunca,moderado
